epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9715,1.98461,3.88147,0.01759,0.54738,0.15664,0.16684,0.10063,1.5911,2.5202,0.01547,0.00022174,0.00022174,0.00022174
2,164.629,1.40262,2.61368,0.01052,0.48094,0.33159,0.30014,0.2065,1.29631,2.03234,0.01217,0.000443904,0.000443904,0.000443904
3,247.695,1.27845,2.26627,0.00931,0.52148,0.37869,0.35846,0.22507,1.37782,1.96631,0.01208,0.00066539,0.00066539,0.00066539
4,338.511,1.21954,2.0413,0.0085,0.57851,0.42342,0.41975,0.29207,1.15728,1.68644,0.01057,0.000664711,0.000664711,0.000664711
5,430.723,1.18869,1.84875,0.00811,0.65372,0.43829,0.46376,0.3244,1.22194,1.53535,0.01034,0.000662935,0.000662935,0.000662935
6,523.115,1.15537,1.67129,0.00761,0.66845,0.45263,0.49672,0.34748,1.19611,1.50582,0.01048,0.000660656,0.000660656,0.000660656
7,616.876,1.15028,1.55526,0.00774,0.69018,0.50532,0.54833,0.38746,1.1976,1.37935,0.00961,0.000657878,0.000657878,0.000657878
8,710.501,1.1126,1.43719,0.00718,0.47081,0.55705,0.5445,0.36362,1.33153,1.38571,0.01031,0.000654604,0.000654604,0.000654604
9,806.31,1.10878,1.35342,0.00722,0.63397,0.56487,0.59115,0.40989,1.22815,1.23932,0.00965,0.000650841,0.000650841,0.000650841
10,900.552,1.08394,1.27526,0.00666,0.67397,0.56515,0.59292,0.40374,1.25737,1.22569,0.00962,0.000646593,0.000646593,0.000646593
11,987.43,1.05561,1.21163,0.00646,0.677,0.56137,0.61878,0.42481,1.30814,1.18081,0.00879,0.000641868,0.000641868,0.000641868
12,1079.72,1.03747,1.14229,0.0064,0.69562,0.56162,0.61664,0.42835,1.27911,1.13846,0.00946,0.000636672,0.000636672,0.000636672
13,1174.14,1.04566,1.12738,0.00642,0.70639,0.60187,0.65508,0.46472,1.11665,1.0545,0.00802,0.000631014,0.000631014,0.000631014
