model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
doclaynet_yolo26n,436,314,654,239,2377497.0,5327385600.0,2680217200.0,0.0,5326668800.0,2679858800.0,,N/A,256,512,64,128.0,218.0,post_placement,176,968,N/A,N/A,N/A,N/A,N/A,255,128,233,80,6,28,98880,687744,256,4,6,64,False,False,True,False,False,0,0,N/A,hailo8l,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.0803481750424821,0.12045397853490164,,,,0.28688840289678835,0.7527039479100032,0.9418908421631242,0.9718145613665251,0.759407608450445,0.8535542621576143,0.5309752725531962,0.12970271102797537,,no runtime data,no runtime data,N/A,0.6194795344343413,0.9286928359494437,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,1228800.0,126000.0,3814400.0,3456000.0,0.0,0.0
doclaynet_yolo26n_context_0,0.11857502446657248,0.13127716664725583,,0.59375,0.375,0.31640625,0.5884447846342552,1.0,0.9879206534486962,0.8389289299658368,0.8518518518518519,0.4946267461347301,0.13331736516912648,,1304.0614995403182,0.0007668350000000001,9.533999999999986e-05,0.8894192014382233,0.9846966783413215,,no runtime data,,,,,1228800.0,0.0,0.0,614400.0,0.0,0.0
doclaynet_yolo26n_context_1,0.11220521669722956,0.16948216642714684,,0.609375,0.3203125,0.359375,0.8201850085731476,0.9358321125160332,0.9702129005950997,0.7475545471675573,0.9130434782608695,0.5571462540003329,0.18281361459385922,,1582.6541109440532,0.00063185,0.00039761000000000006,0.6137683834243195,0.9270762836984013,,no runtime data,,,,,0.0,0.0,819200.0,1126400.0,0.0,0.0
doclaynet_yolo26n_context_2,0.028936738981718547,0.0686087167525152,,0.609375,0.310546875,0.22265625,0.9325607141913681,0.8333333333333333,0.9767327473749599,0.8006665481008627,0.631578947368421,0.6067122662903334,0.08531891244707814,,2571.3716339138205,0.0003888975,0.0007577524999999999,0.33915972615881046,0.8041442956164264,,no runtime data,,,,,0.0,0.0,409600.0,716800.0,0.0,0.0
doclaynet_yolo26n_context_3,0.09452516512590406,0.124373197259277,,0.609375,0.298828125,0.265625,0.779293864124642,1.0,0.9665034509573789,0.7575805739038148,0.8529411764705882,0.5748907251829084,0.13024867992425268,,1496.8995468136623,0.0006680475,0.00025247249999999996,0.725728392647634,0.954890270915662,,no runtime data,,,,,0.0,0.0,1433600.0,819200.0,0.0,0.0
doclaynet_yolo26n_context_4,0.08072069030677688,0.10426408083026054,,0.609375,0.240234375,0.234375,0.8268576087280599,0.9304102870380723,0.9537726937025461,0.7002984184808629,0.9166666666666666,0.5064018514560107,0.1087972727737523,,1362.9595303241458,0.0007336975,0.00025519750000000004,0.7419367071327087,0.9583335884446414,,no runtime data,,,,,0.0,120000.0,921600.0,179200.0,0.0,0.0
doclaynet_yolo26n_context_5,0.046054200245715556,0.09543932855394242,,0.609375,0.345703125,0.3046875,0.8292490650674152,0.7968790368356806,0.9843215313221656,0.6925555818589496,0.8205128205128205,0.4508178615654644,0.1127044653913661,,4150.281700370413,0.00024094749999999996,0.00034870250000000006,0.40862799966081564,0.8468105342812238,,no runtime data,,,,,0.0,6000.0,230400.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,640,640,3,3,1,1,,,input_layer1,conv1,0,2457600,,2125.59,188183,,3.0,3.0,3.0,8,1,4.0,,,1,1,False,,False,combined (SPATIAL_W),3999.9868774414062,8533.3056640625,,0.0,0.0,3.0,0.76751,0,3,0.652591347694397,0.5618994832038879,0.38947970253672226,26.0,7040,doclaynet_yolo26n_context_0,False,0.00076944,0,4915200,0,8,0.0,255.0,0.003921568859368563,0.003921568859368563,0.0,1.0,8,8,16,0.5441511869430542,1.0,0.375,0.6135055129199892,0.6666666666666666,0.1251899073943198,False,False,False
conv1,conv,640,640,16,3,3,3,2,2,normalization1,conv2,448.0,45875200,,1304.06,306734,86400,10.0,6.0,6.0,16,1,17.0,,1,1,1,False,,False,combined (SPATIAL_W),3793.3209228515625,2213.3262939453125,,8.0,0.0,6.0,0.7682975,0,16,0.4064707934856414,0.39740801602602005,0.3524617336648209,17.0,10744,doclaynet_yolo26n_context_0,False,0.00077363,0,88473600,10240,8,0.0,1.0,-22.263090133666992,56.918304443359375,-0.43682265281677246,110.95295715332031,8,8,16,0.29401535741643187,1.0,1.0,0.9937274170355648,0.8,0.2921749696986061,False,False,False
conv2,conv,320,320,32,16,3,3,2,2,conv1,conv_feature_splitter1_1 conv_feature_splitter1_2,4640.0,118784000,,1410.34,283619,115200,18.0,6.0,6.0,32,1,14.0,,1,1,1,False,,False,combined (SPATIAL_W),4693.318206787109,1146.6629943847656,,16.0,0.0,6.0,0.7680575,0,64,0.4625038173463609,0.33728001887599623,0.39598551805194404,86.0,11648,doclaynet_yolo26n_context_0,False,0.000780195,0,235929600,10240,8,-0.43682265281677246,110.95295715332031,-1.7527602910995483,1.3866519927978516,-0.8155227303504944,207.1427764892578,8,8,16,0.41670392843941173,1.0,1.0,0.9112760289885287,0.8888888888888888,0.37975900764840115,False,False,False
conv_feature_splitter1_1,conv,160,160,16,32,1,1,1,1,conv2,concat1,528.0,13516800.0,,1552.67,257621,204800.0,1,1,1,16,2,8,0.0,1,1,1,False,,False,,1066.6632080078125,533.3316040039062,doclaynet_yolo26n/conv_feature_splitter1_1,1,0,1,0.7672049999999999,0,16,0.8198089599609375,0.19874155521392822,0.6885444850394695,8,2560,doclaynet_yolo26n_context_0,False,0.0007842175,0,26214400.0,256,8,-0.8155227303504944,207.1427764892578,-1.5027828216552734,1.0827281475067139,-1.072837471961975,135.7139434814453,8,8,16,0.8198089599609375,1.0,1.0,0.8398840689326907,1.0,0.6885444850394695,False,False,False
conv_feature_splitter1_2,conv,160,160,16,32,1,1,1,1,conv2,conv4 ew_add1 concat1,528.0,13516800.0,,1520.54,263065,204800.0,1,1,1,16,2,17,0.0,1,1,1,False,,False,,1066.6632080078125,533.3316040039062,doclaynet_yolo26n/conv_feature_splitter1_2,1,0,1,0.767285,0,16,0.8028433918952942,0.19462870061397552,0.6885444616147397,17,2560,doclaynet_yolo26n_context_0,False,0.0007842975,0,26214400.0,256,8,-0.8155227303504944,207.1427764892578,-1.5456568002700806,0.638168215751648,-0.7485902309417725,94.69666290283203,8,8,16,0.8028433918952942,1.0,1.0,0.8576323459414346,1.0,0.6885444616147397,False,False,False
conv4,conv,160,160,8,16,3,3,1,1,conv_feature_splitter1_2,conv5,1160.0,29696000,,1423.27,281042,230400,4.0,4.0,4.0,16,1,5.0,,1,1,1,False,,False,combined (SPATIAL_W),1253.3292999267578,293.3323974609375,,2.0,0.0,4.0,0.7716,0,32,0.8401986211538315,0.44496721029281616,0.449656701676713,173.0,3968,doclaynet_yolo26n_context_0,False,0.0007941775,0,58982400,7680,8,-0.7485902309417725,94.69666290283203,-0.16848589479923248,0.0974014401435852,-0.29002514481544495,2.449101209640503,8,8,16,0.8360205210902906,1.0,1.0,0.9159792433170393,0.5,0.7657775063950204,False,False,False
conv5,conv,160,160,16,8,3,3,1,1,conv4,ew_add1,1168.0,29900800.0,,2060.03,194172,115200.0,4,1,2,4,1,1,0.0,1,1,1,True,,False,,266.6658020019531,533.3316040039062,doclaynet_yolo26n/conv5,2,0,1,0.767805,0,4,0.6089961528778076,0.2636837363243103,0.3855131840506421,12,2560,doclaynet_yolo26n_context_0,False,0.00079952,0,58982400.0,15360,8,-0.29002514481544495,2.449101209640503,-30.3443546295166,21.53356170654297,-0.5149653553962708,65.14311981201172,8,8,16,0.6089961528778076,1.0,1.0,0.6330305737218567,1.0,0.3855131840506421,False,False,False
ew_add1,ew_add,160,160,16,16,,,,,conv_feature_splitter1_2 conv5,concat1,0,204800.0,,2548.11,156979,,1,1,1,16,0,1,0.0,,,,False,,False,,533.3316040039062,0.0,doclaynet_yolo26n/ew_add1,1,0,1,0.7625649999999999,0,16,0.6523165702819824,0.3261582851409912,0.33383975329208804,12,2560,doclaynet_yolo26n_context_0,False,0.0008020825,0,409600.0,0,8,-0.7485902309417725,94.69666290283203,N/A,N/A,-0.7680277228355408,97.15550994873047,8,8,16,0.6523165702819824,1.0,1.0,0.5117756753408491,1.0,0.33383975329208804,False,False,False
concat1,concat,160|160|160,160|160|160,48,16|16|16,,,,,conv_feature_splitter1_1 conv_feature_splitter1_2 ew_add1,conv6,0,0,,2545.42,157145,,1,1,1,48,0,3,1,,,,False,,False,,533.3316040039062,0.0,doclaynet_yolo26n/concat1,0,0,1,0.76257,0,48,0.9774411916732788,0.9774411916732788,0.5007596029963989,3,7680,doclaynet_yolo26n_context_0,False,0.0008045375,0,0,0,8,-1.072837471961975,135.7139434814453,N/A,N/A,-1.072837471961975,135.7139434814453,8,8,8,0.9774411916732788,1.0,1.0,0.5123168608631583,0.0,0.5007596029963989,False,False,False
conv6,conv,160,160,64,48,1,1,1,1,concat1,conv7,3136.0,80281600.0,,1435.02,278741,153600.0,8,1,2,8,2,2,0.0,1,1,1,True,,False,,1599.9947509765625,2133.326416015625,doclaynet_yolo26n/conv6,4,0,1,0.766645,0,8,0.5625293850898743,0.7347322702407837,0.5111921186739541,2,10240,doclaynet_yolo26n_context_0,False,0.000811065,0,157286400.0,2048,8,-1.072837471961975,135.7139434814453,-1.3678101301193237,1.63359797000885,-0.3777296841144562,47.782806396484375,8,8,16,0.5625293850898743,1.0,1.0,0.9087385161084196,1.0,0.5111921186739541,False,False,False
